Record Identifier,Measurement Date,Month,Year,First PIP,PIP Table #,Eff. Chart Material Class,Eff. Chart Cell Type,Detailed description,Group(s),Efficiency (%),Revised/New Efficiency (%),Combined efficiency (%),Uncertainty (%),Area (cm2),Type of Area,VOC (V),Jsc (mA/cm2),Revised/ New Jsc (mA/cm2) (PIP #33 ->),FF (%),  Suns,Accredited Testing Centers,REV. EFF. Check 22,Notes
513,2022-11-16,11,2022,,,Emerging PV,Perovskite cells,,UNIST,,25.8,25.8,3.1,0.0959,da,1.1797,25.77,,84.9,1.0,Newport,0.0,
514,2023-03-14,3,2023,62,,Hybrid Tandems,Perovskite/Si,,KAUST,,33.2,33.2,1.1,0.9977,da,1.962,20.97,,80.7,1.0,JRC-ESTI,0.0,
515,2023-02-01,2,2023,62,2,Thin-Film Technologies,CdTe,,First Solar,,22.3,22.3,0.8,0.4491,da,0.8985,31.69,,78.9,1.0,NREL,0.0,
516,2023-03-01,3,2023,62,2,Emerging PV,Perovskite cells,,ISCAS,,26,26.0,1.9,0.0746,da,1.19,26.0,,84,1.0,JET,0.0,
517,2023-04-01,4,2023,62,2,Emerging PV,CZTSSe cells,,IoP/CAS,,14.9,14.9,2.0,0.2694,da,0.5554,36.93,,72.5,1.0,NPVM,0.0,
518,2023-05-01,5,2023,62,3,Hybrid Tandems,Perovskite/Si,,KAUST,,33.7,33.7,3.3,1.0035,da,1.974,20.99,,81.3,1.0,JRC-ESTI,0.0,
519,2023-05-10,5,2023,TBD (63),2,Emerging PV,Perovskite cells,,U. of Science and Technology of China,,26.1,26.1,2.2,0.05127,da,,,,,1.0,NPVM,0.0,
520,2023-08-31,8,2023,63,2,Thin-Film Technologies,CdTe,,First Solar,,,22.4,1.3,0.4497,da,0.8996,31.4,,79.3,1.0,NREL,,
521,2023-07-21,7,2023,63,2,Emerging PV,Perovskite cells,,Northwestern University and University of Toronto,,,26.1,3.2,0.0493,da,1.174,26.13,,85.2,1.0,Newport,,
522,2023-09-26,9,2023,63,3,Hybrid Tandems,Perovskite/Si,,Longi,,,33.9,0.9,1,da,1.966,20.76,,83,1.0,NREL,,
523,2023-11-30,11,2023,64,1,Crystalline Si Cells,Silicon heterostructures (HIT),HBC,LONGi,,27.1,27.1,1.2,243.04,da,0.7425,42.61,,85.6,1.0,ISFH,0.0,
524,2024-01-18,1,2024,64,2,Thin-Film Technologies,CdTe,CdTe,First Solar,,22.6,22.6,0.8,0.448,ap,0.8989,31.55,,79.61,1.0,NREL,0.0,
525,2020-08-01,8,2020,57,,Emerging PV,Perovskite tandem cells,"Perovskite/perovskite, 2-term",Nanjing Univ,,24.4,24.4,0.4,0.049,da,2.002,,15.21,80,1.0,NREL,99.83744262295082,
526,2021-02-01,2,2021,58,,Emerging PV,Perovskite tandem cells,"Perovskite/perovskite, 2-term",Nanjing Univ,,26.4,26.4,0.8,0.0494,da,2.048,,16.54,77.9,1.0,JET,99.95372606060607,
527,2021-12-01,12,2021,60,,Emerging PV,Perovskite tandem cells,"Perovskite/perovskite, 2-term",Nanjing Univ,,28,28.0,0.6,0.0495,da,2.125,,16.42,80.3,1.0,JET,100.06670535714287,
528,2022-12-01,12,2022,62,,Emerging PV,Perovskite tandem cells,"Perovskite/perovskite, 2-term",Nanjing Univ,,28.2,28.2,0.5,1.038,da,2.159,,16.59,78.9,1.0,JET,100.21365989361702,
529,2022-12-01,12,2022,62,,Emerging PV,Perovskite tandem cells,"Perovskite/perovskite, 2-term",Nanjing Univ,,29.1,29.1,0.5,0.0489,da,2.154,,16.51,81.7,1.0,JET,99.84396969072165,
530,2020-04-01,4,2020,57,,Hybrid Tandems,III-V/Si ,,FhG-ISE,,,34.5,,,,,,,,,,0.0,
531,2020-05-01,5,2020,58,,Hybrid Tandems,III-V/Si ,,FhG-ISE,,,35.9,,,,,,,,,,,
532,2019-08-01,8,2019,55,,Hybrid Tandems,III-V/Si ,,FhG-ISE,,,34.1,,,,,,,,,,,
533,2017-08-01,8,2017,51,,Hybrid Tandems,III-V/Si ,,FhG-ISE,,,33.3,,,,,,,,,,,
534,2017-03-01,3,2017,50,,Hybrid Tandems,III-V/Si ,,FhG-ISE,,,31.3,,,,,,,,,,,
535,2016-06-01,6,2016,49,,Hybrid Tandems,III-V/Si ,,FhG-ISE,,,30.2,,,,,,,,,,,
