Record Identifier,Measurement Date,Month,Year,First PIP,PIP Table #,Eff. Chart Material Class,Eff. Chart Cell Type,Detailed description,Group(s),Efficiency (%),Revised/New Efficiency (%),Combined efficiency (%),Uncertainty (%),Area (cm2),Type of Area,VOC (V),Jsc (mA/cm2),Revised/ New Jsc (mA/cm2) (PIP #33 ->),FF (%),  Suns,Accredited Testing Centers,REV. EFF. Check 22,Notes
263,2009-08-01,8,2009,35,4,III-V Multijunction Cells,Concentrator,"GaInP/GaInAs/Ge, 2-terminal, lattice-matched ",Spectrolab,,41.6,41.6,2.5,0.3174,da,,,,,364.0,NREL,,
264,2009-08-01,8,2009,35,4,III-V Multijunction Cells,Concentrator,"GaInP/GaAs; GaInAsP/GaInAs, 4-terminal, split spectrum",U. Delaware,,36.1,36.1,2.1999999999999997,0.313,ap,,,,,30.0,NREL,,
265,2009-08-01,8,2009,38,3,Emerging PV,CZTSSe cells,CZTSS thin film solution growth,IBM,,9.700000000000001,9.700000000000001,0.3,0.4362,ap,0.516,,28.6,0.654,1.0,NREL,0.9949969484536082,
266,2009-09-01,9,2009,35,3,III-V Multijunction Cells,Three-junction or more (non-concentrator),"GaInP/GaAs/GaInAs, tandem, Monolithic",Sharp,,35.8,35.8,1.5,0.88,ap,3.012,,13.9,0.853,1.0,AIST,0.9975525251396649,
267,2009-09-01,9,2009,39,1,III-V Multijunction Cells,Three-junction or more (non-concentrator),"GaInP/GaInAs/Ge, monolithic",AZUR,,34.1,34.1,1.2,30.17,t,2.691,,14.7,0.86,1.0,FhG-ISE,0.9976428739002932,
268,2009-10-14,10,2009,,,Emerging PV,Organic cells,Organic,Solarmer,,7.6,7.6,,0.0401,,0.721,,12.22,0.7,,Newport,0.8115044736842105,Perhaps the 12.22 mA/mw should be 15.22 mA/cm2?
269,2009-11-01,11,2009,35,3,Emerging PV,Organic cells,Organic,Solarmer,,7.9,7.9,0.3,0.0441,ap,0.756,,14.7,0.709,1.0,NREL,0.9973745316455694,"Stability not investigated, Light soaked under simulated AM 1.5 for about 140 hrs prior to shipment to NREL"
270,2009-12-01,12,2009,,,Thin-Film Technologies,(not on chart),a-Si:H/nc-Si:H/nc-Si:H,USSC,,13.4,13.4,0.0,0.267,,2.009,,9.39,0.71,1.0,NREL,0.9995374701492535,
271,2010-02-01,2,2010,,,Emerging PV,Quantum dot cells,ZnO/PbS-QD,NREL,,2.9,2.9,,,,,,,,,NREL,0.0,
272,2010-03-01,3,2010,36,4,III-V Multijunction Cells,Concentrator,"GaInP/GaAs/GaInAs, 2-terminal, bi-facial epigrowth",Spire,,41.3,41.3,2.5,1.008,ap,,,,,343.0,NREL,,
273,2010-03-01,3,2010,36,4,Single-Junction GaAs,Concentrator,GaAs ,Fraunhofer ISE,,29.099999999999998,29.099999999999998,1.3,0.0505,da,,,,,117.0,FhG-ISE,,
274,2010-03-01,3,2010,36,1,Single-Junction GaAs,Single crystal,(Crystalline),Fraunhofer ISE,,26.400000000000002,26.400000000000002,0.8,1.006,t,1.03,,29.8,0.86,1.0,FhG-ISE,0.999880303030303,
275,2010-04-01,4,2010,36,3,Thin-Film Technologies,CIGS,CIGS on glass,ZSW Stuttgart,,20.1,20.1,0.6,0.503,t,0.72,,36.3,0.758,1.0,FhG-ISE,0.9856262686567162,
276,2010-04-10,4,2010,,,Thin-Film Technologies,CIGS,CIGS on glass [FhG-ISE],ZSW,,20.1,20.1,,0.503,,0.72,,36.33,0.768,1.0,,0.999454567164179,
277,2010-05-01,5,2010,37,3,Crystalline Si Cells,Single crystal (non-concentrator),n-type CZ substrate,SunPower,,24.2,24.2,0.7000000000000001,155.1,t,0.721,,40.5,0.829,1.0,NREL,1.0002981198347105,
278,2010-06-01,6,2010,37,3,Thin-Film Technologies,CIGS,CIGS on glass,ZSW Stuttgart,,20.3,20.3,0.6,0.5015,ap,0.74,,35.4,0.775,1.0,FhG-ISE,1.0000935960591133,
279,2010-07-01,7,2010,,,Emerging PV,Organic cells,Organic cells various types,Solarmer,,8.1,8.1,,0.0388,,0.759,,15.91,0.673,1.0,NREL,1.0033258481481482,ASTM G173 Global spectrum
280,2010-08-01,8,2010,37,1,Thin-Film Technologies,(not on chart),a-Si/µc-Si (thin film cell),"Oerliken Solar Lab, Neuchatel",,11.899999999999999,11.899999999999999,0.8,1.227,,1.346,,12.92,0.685,1.0,NREL,1.0010394285714288,
281,2010-08-01,8,2010,,,Thin-Film Technologies,CIGS,New CIGS on glass [FhG-ISE],ZSW,,20.3,20.3,,0.5015,,0.74,,35.4,0.775,1.0,,1.0000935960591133,
282,2010-09-01,9,2010,37,4,III-V Multijunction Cells,Concentrator,"GaInP/GaAs/GaInAs, 2-terminal, bi-facial epigrowth",Spire,,42.3,42.3,2.5,0.9756,ap,,,,,406.0,NREL,,
283,2010-10-01,10,2010,37,1,Emerging PV,Organic tandem cells,2-cell tandem,Heliatek,,8.3,8.3,0.3,1.087,ap,1.733,,8.03,0.595,1.0,FhG-ISE,0.9975920542168671,
284,2010-11-01,11,2010,37,1,Emerging PV,Organic cells,polymer,Konarka,,8.3,8.3,0.3,1.031,ap,0.816,,14.46,0.702,1.0,NREL,0.9979699662650602,Stability not investigated
285,2010-11-01,11,2010,37,1,Single-Junction GaAs,Thin-film crystal,GaAs - thin film - epitaxial liftoff,Alta Devices,,27.6,27.6,0.8,0.9989,ap,1.107,,29.6,0.841,1.0,NREL,0.9984498260869565,
286,2010-12-01,12,2010,39,3,Emerging PV,CZTSSe cells,"CZTSSe, Cu2ZnSnS4-ySey thin film solution grown",IBM,,10.100000000000001,10.100000000000001,0.2,0.448,ap,0.517,,30.8,0.635,1.0,Newport,1.0011372277227721,
287,2011-01-01,1,2011,38,1,Emerging PV,Dye-sensitized cells,Dye sensitized,Sharp,,10.9,10.9,0.3,1.008,da,0.736,,21.7,0.68,1.0,AIST,0.9963684403669725,
288,2011-02-01,2,2011,38,1,Crystalline Si Cells,Thin-film crystal,43-µm thick thin film,ISFH,,19.1,19.1,0.4,3.983,ap,0.65,,37.8,0.776,1.0,FhG-ISE,0.9982366492146597,
289,2011-03-01,3,2011,38,1,Thin-Film Technologies,(not on chart),a-Si/nc-Si/nc-Si thin film,United Solar,,12.4,12.4,0.7000000000000001,1.05,ap,1.936,,8.96,0.715,1.0,NREL,1.0002250322580644,
290,2011-03-01,3,2011,38,3,Crystalline Si Cells,Multicrystalline,Si laser fired contacts,Q-Cells,,19.5,19.5,0.4,242.7,t,0.652,,39,0.767,1.0,FhG-ISE,1.000168,
291,2011-03-01,3,2011,38,3,III-V Multijunction Cells,Concentrator,"GaInP/GaAs/GaInNAs, 2-terminal",Solar Junction,,43.5,43.5,2.6,0.3124,ap,,,,,418.0,NREL,,
292,2011-03-01,3,2011,38,1,Single-Junction GaAs,Thin-film crystal,GaAs - thin film - epitaxial liftoff,Alta Devices,,28.1,28.1,0.8,0.998,ap,1.111,,29.4,0.859,1.0,NREL,0.998500377224199,
293,2011-03-09,3,2011,,,Emerging PV,Quantum dot cells,ZnO/PbS Quantum Dot,NREL,,4.4,4.4,,0.029,,0.525,,18.145,0.46,1.0,NREL,0.9959130681818182,
294,2011-04-01,4,2011,41,3,Emerging PV,CZTSSe cells,"CZTS thermal evaporation, Cu2ZnSnS4",IBM,,8.4,8.4,0.2,0.4463,ap,0.661,,19.5,0.658,1.0,Newport,1.0096775,Not confirmed: IBM not listed. Pip 41 lists: NREL Eff=19.6 Pip 40 lists same as Pip 41 (mh)
295,2011-05-01,5,2011,39,3,Crystalline Si Cells,Silicon heterostructures (HIT),HIT n-type substrate,Sanyo,,23.7,23.7,0.6,100.7,t,0.745,,39.38,0.809,1.0,AIST,1.0014566624472574,
296,2011-06-01,6,2011,39,3,Emerging PV,Dye-sensitized cells,Dye sensitized,NIMS,,11.4,11.4,0.3,0.231,ap,0.743,,21.34,0.722,1.0,AIST,1.0041892666666665,
297,2011-07-01,7,2011,39,1,Thin-Film Technologies,(not on chart),a-Si/nc-Si thin film,Kaneka,,12.3,12.3,0.3,0.962,ap,1.365,,12.93,0.694,1.0,AIST,,
298,2011-07-01,7,2011,40,1,Thin-Film Technologies,CdTe,CdTe on glass,First Solar,,17.299999999999997,17.299999999999997,0.5,1.066,ap,0.842,,27.202,0.756,1.0,NREL,1.000895231445087,
299,2011-08-01,8,2011,,,Emerging PV,Organic tandem cells,Tandem,UCLA,,8.6,8.6,,0.103,,1.56,,8.26,0.668,1.0,NREL,1.0008814883720931,
300,2011-08-01,8,2011,39,1,Single-Junction GaAs,Thin-film crystal,GaAs - thin film - epitaxial liftoff,Alta Devices,,28.299999999999997,28.299999999999997,0.8,0.9944,ap,1.107,,29.47,0.867,1.0,NREL,0.9994484957597173,
301,2011-09-01,9,2011,,,Emerging PV,Quantum dot cells,PbS-QD,U. Toronto,,5.1,5.1,,,,,,,,,,0.0,
303,2011-09-01,9,2011,39,3,III-V Multijunction Cells,Three-junction or more (non-concentrator),"GaInP/GaAs/GaInAs,tandem, Monolithic",Sharp,,36.9,36.9,1.5,0.891,ap,3.006,,14.05,0.875,1.0,AIST,1.0014908536585365,
302,2011-09-01,9,2011,39,1,Emerging PV,Dye-sensitized cells,Dye sensitized,Sharp,,11,11.0,0.3,1.007,da,0.714,,21.93,0.703,1.0,AIST,1.0006898236363635,
304,2011-10-01,10,2011,39,1,Emerging PV,Organic cells,thin film,Mitsubishi Chemical,,10,10.0,0.3,1.021,ap,0.899,,16.75,0.661,1.0,AIST,0.9953503250000001,Stability not investigated
305,2011-12-01,12,2011,,,Emerging PV,Organic tandem cells,Tandem  ,Heliatek,,9.8,9.8,,0.0802,,1.396,,10.7,0.652,1.0,NREL,0.9937810612244896,
306,2012-01-01,1,2012,40,3,Emerging PV,Organic tandem cells,OPV tandem,UCLA-Sumitomo,,10.6,10.6,0.3,0.103,ap,1.5306,,10.08,0.685,1.0,NREL,0.9970270641509434,
307,2012-02-01,2,2012,40,3,Crystalline Si Cells,Silicon heterostructures (HIT),HIT n-type,Panasonic,,23.9,23.9,0.6,102.7,t,0.748,,38.89,0.822,1.0,AIST,1.0004916251046025,
308,2012-02-01,2,2012,40,1,III-V Multijunction Cells,Three-junction or more (non-concentrator),GaInP/GaAs/GaInAs,Sharp,,37.5,37.5,1.3,1.046,ap,3.015,,14.56,0.855,1.0,AIST,1.0008835200000001,
309,2012-02-01,2,2012,40,3,Emerging PV,CZTSSe cells,CZTSS thin film solution growth,IBM,,11.1,11.1,0.3,0.4496,ap,0.4598,,34.54,0.698,1.0,Newport,0.9986740014414414,
310,2012-03-07,3,2012,,,Emerging PV,Quantum dot cells,Colloidal Quantum Dot,U. Toronto,,7,7.0,0.2,0.0453,,0.605,,,0.58,1.0,Newport,0.0,
311,2012-04-01,4,2012,41,4,III-V Multijunction Cells,Concentrator,"GaInP/GaAs/GaInAs, inverted metamorphic",Sharp,,43.5,43.5,2.6,0.167,da,,,,,306.0,FhG-ISE,,
312,2012-05-01,5,2012,40,1,Single-Junction GaAs,Thin-film crystal,GaAs - thin film - epitaxial liftoff,Alta Devices,,28.799999999999997,28.799999999999997,0.8999999999999999,0.9927,ap,1.122,,29.68,0.865,1.0,NREL,1.0001850833333334,
313,2012-06-01,6,2012,40,1,Thin-Film Technologies,Amorphous Si:H (stabilized),a-Si thin film,Oerlikon Solar Lab/Neuchatel,,10.1,10.1,0.3,1.036,ap,0.886,,16.75,0.67,1.0,NREL,,
314,2012-07-01,7,2012,41,1,Thin-Film Technologies,(not on chart),a-Si/nc-Si/nc-Si thin film,LG Electronics,,13.4,13.4,0.4,1.006,ap,1.963,,9.52,0.719,1.0,NREL,1.00272383880597,Combined with Ians notes
315,2012-08-01,8,2012,,,Crystalline Si Cells,Thin-film crystal,Si thin-film crystal,Solexel,,19.6,19.6,0.0,242.6,,0.665,,37.6,0.782,1.0,NREL,0.9976085714285714,
318,2012-09-01,9,2012,41,1,III-V Multijunction Cells,Three-junction or more (non-concentrator),GaInP/GaAs/GaInAs,Sharp,,37.7,37.7,1.2,1.047,ap,3.014,,14.57,0.86,1.0,AIST,1.001751267904509,
316,2012-09-01,9,2012,,,Crystalline Si Cells,Thin-film crystal,Si thin-film crystal,Solexel,,19.900000000000002,19.900000000000002,0.0,242.6,,0.666,,38.2,0.783,1.0,NREL,1.001028120603015,
317,2012-09-01,9,2012,41,1,Emerging PV,Dye-sensitized cells,Dye sensitized,Sharp,,11.899999999999999,11.9,0.4,1.005,da,0.744,,22.47,0.712,1.0,AIST,1.0002511058823529,
319,2012-09-01,9,2012,50,1,Single-Junction GaAs,Single crystal,"InP, Crystalline cell",NREL,,24.2,24.2,0.5,1.008,ap,0.939,,31.15,0.826,1.0,NREL,0.9983626487603305,
320,2012-09-01,9,2012,42,3,Thin-Film Technologies,CIGS,Flexible CIGS on polymide,EMPA,,20.4,20.4,0.6,0.5203,ap,0.7363,,35.08,0.789,1.0,FhG-ISE,0.9989901841176471,
321,2012-10-01,10,2012,41,1,Crystalline Si Cells,Thin-film crystal,43-µm thick thin film,Solexel,,20.1,20.1,0.4,242.6,ap,0.682,,38.14,0.774,1.0,NREL,1.0016360955223882,
322,2012-10-01,10,2012,41,3,Emerging PV,Organic cells,thin film,Mitsubishi Chemical,,11.1,11.1,0.3,0.159,ap,0.867,,17.81,0.722,1.0,AIST,1.0043781027027026,Stability not investigated
323,2012-10-01,10,2012,41,1,Emerging PV,Organic cells,"thin film, 4.4mmX23.0mm",Mitsubishi Chemical,,10.7,10.7,0.3,1.013,da,0.872,,17.75,0.689,1.0,AIST,0.996667476635514,Stability not investigated
324,2012-10-01,10,2012,41,4,III-V Multijunction Cells,Concentrator,GaInP/GaAs/GaInNAs,Solar Junction,,44,44.0,3.0,0.3104,ap,,,,,942.0,NREL,,
325,2012-10-01,10,2012,41,1,Thin-Film Technologies,CdTe,CdTe,GE Global Research,,18.3,18.3,0.5,1.005,ap,0.857,,26.95,0.79,1.0,NREL,0.997046912568306,"FF was originally reported as 77%, but corrected here to 79%"
326,2012-11-01,11,2012,42,3,Thin-Film Technologies,CIGS,CIGSS (Cd-free),Showa Shell/Tokyo U. of Science,,19.7,19.7,0.5,0.496,da,0.683,,37.06,0.778,1.0,AIST,0.9996304791878174,
327,2012-12-01,12,2012,42,3,Crystalline Si Cells,Silicon heterostructures (HIT),HIT n-type,Panasonic,,24.7,24.7,0.5,101.8,t,0.75,,39.5,0.832,1.0,AIST,0.9978947368421053,
328,2012-12-01,12,2012,42,1,Crystalline Si Cells,Thin-film crystal,Si nanocrystalline 1.8 µm on glass,"EPFL, Neuchatel",,10.7,10.7,0.2,1.044,da,0.549,,26.55,0.733,1.0,FhG-ISE,0.998520686915888,
329,2012-12-01,12,2012,,,Thin-Film Technologies,CdTe,CdTe,First Solar,,18.7,18.7,,0.48,,0.852,,28.6,0.767,1.0,NREL,0.9994461176470589,
330,2013-01-01,1,2013,42,4,Crystalline Si Cells,Single crystal (concentrator),Silicon 12 point focus cells module ,Sandia/UNSW/ENTECH,,20.5,20.5,0.8,1875,ap,,,,,79.0,,,
332,2013-01-01,1,2013,42,3,Emerging PV,CZTSSe cells,"CZTS thin film, Cu2ZnSnS4",Toyota Central R&D Laboratories,,8.5,8.5,0.2,0.2382,da,0.708,,16.83,0.709,1.0,AIST,0.9939045599999998,
331,2013-01-01,1,2013,,,III-V Multijunction Cells,Two-junction (non-concentrator),"GaAs with epitaxial lift off,  thin film",Alta Devices,,30.8,30.8,,0.999,,2.548,,14.2,0.853,1.0,NREL,1.0020423636363636,
333,2013-02-01,2,2013,42,1,III-V Multijunction Cells,Three-junction or more (non-concentrator),GaInP/GaAs/GaInAs,Sharp,,37.9,37.9,1.2,1.047,ap,3.065,,14.27,0.867,1.0,AIST,1.0005397321899736,
334,2013-04-01,4,2013,42,4,III-V Multijunction Cells,Concentrator,"GaInP/GaAs/GaInAs, inverted metamorphic",Sharp,,44.4,44.4,2.6,0.1652,da,,,,,302.0,FhG-ISE,,
335,2013-05-01,5,2013,42,3,Emerging PV,Perovskite cells,"thin film, CH3NH3PbI3, perovskite methylammonium triodideplumbate",EPFL,,14.099999999999998,14.1,0.3,0.209,ap,1.007,,21.34,0.657,1.0,Newport,1.0013136638297873,Stability not investigated
336,2013-05-01,5,2013,,Ians Four-Junction or More Conc Tab,III-V Multijunction Cells,Concentrator,Bonded 4-junction,Soitec,,43.6,43.6,,0.052,,,,,,319.0,FhG-ISE,,
338,2013-05-01,5,2013,42,3,Single-Junction GaAs,Single crystal,"GaInP, high band gap",NREL,,20.8,20.8,0.6,0.2491,ap,1.455,,16.04,0.893,1.0,NREL,1.0019717596153845,
337,2013-05-01,5,2013,,,III-V Multijunction Cells,Two-junction (non-concentrator),"GaInP/GaAs, monolithic, 2-terminal, thin film",NREL,,31.1,31.1,,0.248,,2.513,,14.1,0.877,1.0,NREL,0.999196273311897,
339,2013-05-01,5,2013,,,Thin-Film Technologies,CdTe,CdTe,First Solar,,19.1,19.1,,0.486,,0.872,,28,0.78,1.0,Newport,0.9970931937172774,
340,2013-06-01,6,2013,42,1,Thin-Film Technologies,CdTe,CdTe,GE Global Research,,19.6,19.6,0.4,1.0055,ap,0.8573,,28.59,0.8,1.0,Newport,1.0004166122448979,
341,2013-07-01,7,2013,46,1,III-V Multijunction Cells,Three-junction or more (non-concentrator),"GaAs/InP, bonded, 2.17/1.68/1.40/1.06/0.73 eV",Spectrolab,,38.800000000000004,38.800000000000004,1.2,1.021,ap,4.767,,9.564,0.852,1.0,NREL,1.001134870515464,First reported in PIP #43 with 1.9% Uncertainty
343,2013-07-01,7,2013,43,3,Emerging PV,CZTSSe cells,CZTSS thin film solution growth,IBM,,12,12.0,0.3,0.4348,ap,0.4982,,34.8,0.694,1.0,Newport,1.0026773199999999,Not confirmed. IBM not listed in PIP 43 or in PIP 42 (mh)
344,2013-08-01,8,2013,43,4,Thin-Film Technologies,CIGS (concentrator),CIGS thin film,NREL,,22.8,22.8,0.8999999999999999,0.1,ap,,,,,15.0,NREL,,
342,2014-04-01,4,2014,44,3,Emerging PV,CZTSSe cells,CZTSS thin film solution growth,IBM,,12.6,12.6,0.3,0.4209,ap,0.5134,,35.21,0.698,1.0,Newport,1.0013981088888888,
346,2013-09-01,9,2013,43,1,Thin-Film Technologies,Amorphous Si:H (stabilized),Si microcrystalline,AIST,,10.8,10.8,0.3,1.045,da,0.523,,28.24,0.732,1.0,AIST,1.0010452444444442,
347,2013-10-01,10,2013,,Ians Four-Junction or More Conc Tab,III-V Multijunction Cells,Concentrator,Bonded 4-junction,Soitec,,44.7,44.7,,0.052,,,,,,297.0,FhG-ISE,,
345,2013-08-01,8,2013,43,4,Thin-Film Technologies,CIGS (concentrator),thin film,NREL,,22.8,22.8,0.9,0.1,ap,,,,,15.4,NREL,,"Ians note, 15.4 ""NREL old data"""
348,2013-10-01,10,2013,43,3,Thin-Film Technologies,CIGS,CIGS on glass,ZSW Stuttgart,,20.8,20.8,0.6,0.5005,ap,0.7574,,34.77,0.792,1.0,FhG-ISE,1.0027480776923077,
350,2013-11-01,11,2013,43,1,Thin-Film Technologies,CIGS,CIGS on glass,NREL,,19.8,19.8,0.6,0.9974,ap,0.716,,34.91,0.792,1.0,NREL,0.9998223999999999,Confirmed (mh)
349,2013-10-24,10,2013,,,Emerging PV,Quantum dot cells,Colloidal Quantum Dot,MIT,,8.55,8.55,0.18,0.0137,,0.555,,,0.64,1.0,Newport,0.0,
352,2013-12-01,12,2013,, ,III-V Multijunction Cells,Concentrator,GaInP/GaAs,NREL,,34.1,34.1,,0.0994,,,,,,467.0,NREL,,
351,2013-12-01,12,2013,44,3,Emerging PV,Perovskite cells,"inorganic−organic hybrid thin film materials, based on CH3NH3(MA)Pb(I1−xBrx)3 perovskites",KRICT,,17.9,17.9,0.8,0.0938,,1.109,,19.6,0.742,1.0,Newport,0.9010284245810056,5 spectrum
354,2014-01-01,1,2014,44,1,Thin-Film Technologies,Amorphous Si:H (stabilized),Si microcrystalline,AIST,,11,11.0,0.3,1.045,da,0.542,,27.44,0.738,1.0,AIST,0.9978082036363637,
353,2013-12-01,12,2013,44,3,Thin-Film Technologies,CdTe,CdTe on glass,First Solar,,20.4,20.4,0.5,0.4778,da,0.8717,,29.47,0.795,1.0,Newport,1.0011154022058824,
355,2014-02-01,2,2014,44,1,Crystalline Si Cells,Silicon heterostructures (HIT),Si HIT rear-junction,Panasonic,,25.6,25.6,0.5,143.7,da,0.74,,41.8,0.827,1.0,AIST,0.9992485937499999,
357,2014-02-01,2,2014,44,4,Thin-Film Technologies,CIGS,thin film,NREL,,23.3,23.3,1.2,0.9902,ap,,,,,14.7,NREL,,
356,2014-02-01,2,2014,44,3,Crystalline Si Cells,Single crystal (non-concentrator),Si rear junction,SunPower,,25,25.0,0.7000000000000001,120.94,t,0.726,,41.5,0.828,1.0,FhG-ISE,0.99787248,
359,2014-03-01,3,2014,44,1,Thin-Film Technologies,CIGS,CIGS thin film,Solibro,,20.5,20.5,0.6,0.9882,ap,0.752,,35.3,0.772,1.0,NREL,0.9996684487804877,Confirmed: Eff=20.5 (mh)
360,2014-03-01,3,2014,44,3,Thin-Film Technologies,CIGS,CIGSS Cd free  on glass,Showa Shell,,20.9,20.9,0.7000000000000001,0.5192,ap,0.6858,,39.91,0.764,1.0,FhG-ISE,1.0005211670813396,
358,2014-03-01,3,2014,44,4,Thin-Film Technologies,CIGS (concentrator),CIGS thin film,NREL,,23.3,23.3,1.2,0.09902,,,,,,15.0,NREL,,
361,2014-04-01,4,2014,44,3,Emerging PV,Perovskite cells,thin film,KRICT,,17.9,17.9,0.8,0.0937,ap,1.1142,,21.8,0.736,1.0,Newport,0.9987215731843576,Stability not investigated
362,2014-04-01,4,2014,,Ians Four-Junction or More Conc Tab,III-V Multijunction Cells,Concentrator,Inverted metamorphic,NREL,,43.8,43.8,,0.0998,,,,,,327.0,NREL,,
363,2014-04-01,4,2014,46,1,Thin-Film Technologies,CIGS,CIGS on glass,Solibro,,21,21.0,0.6,0.9927,ap,0.757,,35.7,0.776,1.0,FhG-ISE,0.9986344,
364,2014-04-23,4,2014,,,Crystalline Si Cells,Thin-film crystal,Si thin-film crystal,Solexel,,,21.24,,239.7,,5.4952,,4.813,0.803,,NREL,,
365,2014-07-01,7,2014,45,1,Thin-Film Technologies,Amorphous Si:H (stabilized),a-Si:H single-junction p-i-n solar cell,AIST,,10.2,10.2,0.3,1.001,da,0.896,,16.36,0.698,1.0,AIST,1.003105380392157,
366,2014-07-01,7,2014,45,1,Thin-Film Technologies,Amorphous Si:H (stabilized),Si microcrystalline,AIST,,11.4,11.4,0.3,1.046,da,0.535,,29.07,0.731,1.0,AIST,0.9972667499999999,
367,2014-08-01,8,2014,45,1,Thin-Film Technologies,CdTe,CdTe on glass,First Solar,,21,21.0,0.4,1.0623,ap,0.8759,,30.25,0.794,1.0,Newport,1.0018001976190478,
368,2014-09-01,9,2014,45,1,Emerging PV,Organic cells,thin film,Toshiba,,11,11.0,0.3,0.993,da,0.793,,19.4,0.714,1.0,AIST,0.9985744363636363,Initial performance (not stabilized)
369,2014-09-01,9,2014,46,4,III-V Multijunction Cells,Concentrator,"GaInP/GaAs/GaInAs/GaInAs, monolithic",NREL,,45.7,45.7,2.3,0.097909,da,,,,,234.0,NREL,,Not measured at external laboratory
370,2014-09-01,9,2014,45,3,Thin-Film Technologies,CIGS,CIGS on glass,ZSW Stuttgart,,21.7,21.7,0.7000000000000001,0.4972,da,0.7463,,36.59,0.793,1.0,FhG-ISE,0.9979052433640554,
371,2014-10-01,10,2014,45,1,Thin-Film Technologies,(not on chart),a-Si/nc-Si thin film,AIST,,12.7,12.7,0.4,1,da,1.342,,13.45,0.702,1.0,AST,0.9977188818897638,
372,2014-10-01,10,2014,45,4,III-V Multijunction Cells,Concentrator,"GaInP/GaAs; GaInAsP/GaInAs, bonded",Soitec/CEA/FhG-ISE ,,46,46.0,2.2,0.052,da,,,,,508.0,AIST,,
373,2014-10-01,10,2014,46,1,Thin-Film Technologies,Amorphous Si:H (stabilized),Si microcrystalline,AIST,,11.799999999999999,11.799999999999999,0.3,1.044,da,0.548,,29.39,0.731,1.0,AIST,0.9977357050847458,
374,2014-11-01,11,2014,45,1,Crystalline Si Cells,Multicrystalline,PERC Solar Cell on 156 mm × 156 mm P-Type Multicrystalline Silicon,Trina Solar,,20.8,20.8,0.6,243.9,ap,0.6626,,39.03,0.803,1.0,FhG-ISE,0.9983945304807692,
375,2014-11-01,11,2014,45,3,Emerging PV,Perovskite cells,thin film,KRICT,,20.1,20.1,0.4,0.0955,ap,1.059,,24.65,0.77,1.0,Newport,1.0000173880597012,Stability not investigated
376,2014-12-01,12,2014,46,3,Thin-Film Technologies,CdTe,CdTe on glass,First Solar,,21.5,21.5,0.4,0.3455,da,0.8774,,30.94,0.792,1.0,Newport,1.0000107326511627,
377,2014-12-01,12,2014,46,3,Emerging PV,CZTSSe cells,CZTS thin film,Toyota Central R&D Laboratories,,9.1,9.1,0.2,0.2409,da,0.701,,20.84,0.625,1.0,AIST,1.0033543956043955,
378,2014-12-04,12,2014,,,Emerging PV,Quantum dot cells,Colloidal Quantum Dot,U. Toronto,,9.24,9.24,0.2,0.0487,,0.6428,,,0.68,1.0,Newport,0.0,
379,2015-01-01,1,2015,46,1,Thin-Film Technologies,(not on chart),a-Si/nc-Si thin film,AIST,,13.600000000000001,13.600000000000001,0.4,1.043,da,1.901,,9.92,0.721,1.0,AIST,0.9997470823529411,
380,2015-01-01,1,2015,46,1,Thin-Film Technologies,Amorphous Si:H (stabilized),a-Si/nc-Si (thin-film cell),AIST,,12.7,12.7,0.4,1,da,1.342,,1345,,,,,
381,2015-02-01,2,2015,46,1,Emerging PV,Perovskite cells,thin film,NIMS,,15,15.0,0.6,1.017,ap,1.09,,20.61,0.668,1.0,AIST,1.00043688,"Not stabilized, initial efficiency"
382,2015-03-01,3,2015,,,Emerging PV,Quantum dot cells,molecular iodine PbS Colloidal quantum dot solar cell,U. Toronto,,9.9,9.9,,0.049,,0.639,,22.28,72.37,,,104.07332327272728,
383,2015-05-01,5,2015,47,3,Emerging PV,Organic cells,thin film,Hong Kong UST,,11.5,11.5,0.3,0.0429,ap,0.7907,,19.74,0.735,1.0,Newport,0.9975814982608695,Stability not investigated
384,2015-05-01,5,2015,,,Single-Junction GaAs,Single crystal,GaAs,LG Electronics,,27.400000000000002,27.400000000000002,0.0,0.999,,1.077,,29.3,0.867,1.0,NREL,0.998508711678832,Is this really on the wafer or is it an epitaxial lift off or AlGaAs
385,2015-06-01,6,2015,47,1,Emerging PV,Perovskite cells,thin film,NIMS,,15.6,15.6,0.6,1.02,da,1.074,,19.29,0.751,1.0,AIST,0.997359773076923,"Not stabilized, initial efficiency"
386,2015-08-01,8,2015,47,3,Crystalline Si Cells,Single crystal (non-concentrator),Si n-type top/rear contacts,Fraunhofer ISE,,25.1,25.1,0.5,4.01,da,0.7177,,42.07,0.8324,1.0,FhG-ISE,1.001322115681275,
387,2015-08-01,8,2015,,,III-V Multijunction Cells,Concentrator,Metamorphic GaInP/GaInAs,Fraunhofer ISE,,34.2,34.2,,0.0504,,,,,,460.0,,,
388,2015-08-01,8,2015,48,3,Thin-Film Technologies,CIGS,"CIGS on glass, CuInGaSe",Solar Frontier,,22.3,22.3,0.4,0.51,da,0.7219,,39.38,0.782,1.0,FhG-ISE,0.9969069956950672,"PIP reports Voc = 0.4219, but 0.7219 V appears more reasonable."
389,2015-09-01,9,2015,47,3,Crystalline Si Cells,Silicon heterostructures (HIT),Si n-type top/rear contacts,Kaneka,,25.1,25.1,0.5,151.88,ap,0.7375,,40.79,0.8349,1.0,FhG-ISE,1.0006367973107568,
